"id","unspsc_code","unspsc_name","unspsc_alias","child_category","parent_category"
"116","14000000","Paper Materials and Products","","",""
"117","15000000","Fuels and Fuel Additives and Lubricants and Anti corrosive Materials","","",""
"118","20000000","Mining and Well Drilling Machinery and Accessories","","",""
"119","21000000","Farming and Fishing and Forestry and Wildlife Machinery and Accessories","","",""
"120","22000000","Farming and Fishing and Forestry and Wildlife Machinery and Accessories","","",""
"121","23000000","Industrial Manufacturing and Processing Machinery and Accessories","","",""
"122","24000000","Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies","","",""
"123","25000000","Commercial and Military and Private Vehicles and their Accessories and Components","","",""
"124","26000000","Power Generation and Distribution Machinery and Accessories","","",""
"125","27000000","Tools and General Machinery","","",""
"126","30000000","Structures and Building and Construction and Manufacturing Components and Supplies","","",""
"127","31000000","Structures and Building and Construction and Manufacturing Components and Supplies","","",""
"128","32000000","Electronic Components and Supplies","","",""
"129","39000000","Electrical Systems and Lighting and Components and Accessories and Supplies","","",""
"130","40000000","Distribution and Conditioning Systems and Equipment and Components","","",""
"131","41000000","Laboratory and Measuring and Observing and Testing Equipment","","",""
"132","42000000","Medical Equipment and Accessories and Supplies","","",""
"133","43000000","Information Technology Broadcasting and Telecommunications","","",""
"134","44000000","Office Equipment and Accessories and Supplies","","",""
"135","45000000","Printing and Photographic and Audio and Visual Equipment and Supplies","","",""
"136","46000000","Defence and Law Enforcement and Security and Safety Equipment and Supplies","","",""
"137","47000000","Cleaning Equipment and Supplies","","",""
"138","48000000","Service Industry Machinery and Equipment and Supplies","","",""
"139","49000000","Sports and Recreational Equipment and Supplies and Accessories","","",""
"140","50000000","Food and Beverage Products","","",""
"141","51000000","Drugs and Pharmaceutical Products","","",""
"142","52000000","Domestic Appliances and Supplies and Consumer Electronic Products","","",""
"143","53000000","Apparel and Luggage and Personal Care Products","","",""
"144","54000000","Timepieces and Jewellery and Gemstone Products","","",""
"145","55000000","Published Products","","",""
"146","56000000","Furniture and Furnishings","","",""
"147","60000000","Developmental and professional teaching aids and materials and accessories and supplies","","",""
"148","70000000","Farming and Fishing and Forestry and Wildlife Contracting Services","","",""
"149","71000000","Mining and oil and gas services","","",""
"150","72000000","Building and Construction and Maintenance Services","","",""
"151","73000000","Industrial Production and Manufacturing Services","","",""
"152","76000000","Industrial Cleaning Services","","",""
"153","77000000","Environmental Services","","",""
"154","78000000","Transportation and Storage and Mail Services","","",""
"155","80000000","Management and Business Professionals and Administrative Services","","",""
"156","81000000","Engineering and Research and Technology Based Services","","",""
"157","82000000","Editorial and Design and Graphic and Fine Art Services","","",""
"158","83000000","Public Utilities and Public Sector Related Services","","",""
"159","84000000","Financial and Insurance Services","","",""
"160","85000000","Healthcare Services","","",""
"161","86000000","Education and Training Services","","",""
"162","90000000","Travel and Food and Lodging and Entertainment Services","","",""
"163","91000000","Personal and Domestic Services","","",""
"164","92000000","National Defence and Public Order and Security and Safety Services","","",""
"165","93000000","Politics and Civic Affairs Services","","",""
"166","94000000","Organisations and Clubs","","",""
"112","10000000","Live Plant and Animal Material and Accessories and Supplies","","",""
"113","11000000","Mineral and Textile and Inedible Plant and Animal Materials","","",""
"114","12000000","Chemicals including Bio Chemicals and Gas Materials","","",""
"115","13000000","Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials","","",""
